time,GEN1:Vt
6.44,0.99932
6.45,0.99933
6.46,0.99934
6.47,0.99936
6.48,0.99937
6.49,0.99938
6.5,0.99940
6.51,0.99941
6.52,0.99942
6.53,0.99943
6.54,0.99944
6.55,0.99946
6.56,0.99947
6.57,0.99948
6.58,0.99949
6.59,0.99950
6.6,0.99952
6.61,0.99953
6.62,0.99954
6.63,0.99955
6.64,0.99956
6.65,0.99957
6.66,0.99959
6.67,0.99960
6.68,0.99961
6.69,0.99962
6.7,0.99963
6.71,0.99964
6.72,0.99965
6.73,0.99966
6.74,0.99968
6.75,0.99969
6.76,0.99970
6.77,0.99971
6.78,0.99972
6.79,0.99973
6.8,0.99974
6.81,0.99975
6.82,0.99977
6.83,0.99978
6.84,0.99979
6.85,0.99980
6.86,0.99981
6.87,0.99982
6.88,0.99983
6.89,0.99984
6.9,0.99985
6.91,0.99986
6.92,0.99988
6.93,0.99989
6.94,0.99990
6.95,0.99991
6.96,0.99992
6.97,0.99993
6.98,0.99994
6.99,0.99995
7,0.99996
7.01,0.99997
7.02,0.99998
7.03,0.99999
7.04,1.00000
7.05,1.00001
7.06,1.00002
7.07,1.00003
7.08,1.00004
7.09,1.00005
7.1,1.00006
7.11,1.00007
7.12,1.00008
7.13,1.00009
7.14,1.00010
7.15,1.00011
7.16,1.00011
7.17,1.00012
7.18,1.00013
7.19,1.00014
7.2,1.00015
7.21,1.00016
7.22,1.00017
7.23,1.00018
7.24,1.00018
7.25,1.00019
7.26,1.00020
7.27,1.00021
7.28,1.00022
7.29,1.00023
7.3,1.00024
7.31,1.00024
7.32,1.00025
7.33,1.00026
7.34,1.00027
7.35,1.00028
7.36,1.00028
7.37,1.00029
7.38,1.00030
7.39,1.00031
7.4,1.00032
7.41,1.00032
7.42,1.00033
7.43,1.00034
7.44,1.00035
7.45,1.00036
7.46,1.00036
7.47,1.00037
7.48,1.00038
7.49,1.00039
7.5,1.00040
7.51,1.00040
7.52,1.00041
7.53,1.00042
7.54,1.00043
7.55,1.00043
7.56,1.00044
7.57,1.00045
7.58,1.00046
7.59,1.00046
7.6,1.00047
7.61,1.00048
7.62,1.00049
7.63,1.00049
7.64,1.00050
7.65,1.00051
7.66,1.00052
7.67,1.00052
7.68,1.00053
7.69,1.00054
7.7,1.00055
7.71,1.00055
7.72,1.00056
7.73,1.00057
7.74,1.00057
7.75,1.00058
7.76,1.00059
7.77,1.00059
7.78,1.00060
7.79,1.00061
7.8,1.00062
7.81,1.00062
7.82,1.00063
7.83,1.00063
7.84,1.00064
7.85,1.00065
7.86,1.00065
7.87,1.00066
7.88,1.00067
7.89,1.00067
7.9,1.00068
7.91,1.00069
7.92,1.00069
7.93,1.00070
7.94,1.00070
7.95,1.00071
7.96,1.00072
7.97,1.00072
7.98,1.00073
7.99,1.00073
8,1.00074
